,name,description,closing_date,description2,beds
0,Marianhill Nursing Home — Project #20-027,Development of a 160-bed long-term care home in Pembroke,Closed,"The MLTC is reviewing a proposal from Marianhill Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years to Marianhill Nursing Home a LTC home located at 600 Cecelia Street in Pembroke, Ontario.",160
0,Meritas Care Corporation — Project #20-029,Licence Transfer for three long-term care homes in Leamington and Windsor,Closed,"The MLTC is reviewing a proposal from Meritas Care Corporation (the current licensee) in conjunction with DTOC Long Term Care LP, by its general partner, DTOC Long Term Care MGP (a general partnership) by its partners, DTOC Long Term Care GP Inc. and Arch Venture Holdings Inc. (the proposed purchaser) for the licence transfers related to three long-term care (LTC) homes located in Leamington and Windsor, Ontario.",
0,Southbridge Cornwall — Project #20-030,Development of a 160-bed long-term care home in Cornwall,Closed,"The MLTC is reviewing a proposal from (CVH (No. 6) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years to a new LTC home to be named Southbridge Cornwall, to be located in Cornwall.",160
0,Southbridge Kemptville — Project #20-031,Development of 160-bed long-term care home in Kemptville,Closed,"The MLTC is reviewing a proposal from CVH (No. 7) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years to a new LTC home to be named Southbridge Kemptville, to be located in Kemptville.",160
0,Southbridge Owen Sound — Project #20-032,Licence Transfer and Development of 160-bed long-term care home in Owen Sound,Closed,"The MLTC is reviewing a proposal from CVH (No. 2) LP and (No. 3) LP by its general partners, Southbridge Health Care GP Inc. and Southbridge Care Homes (a limited partnership, by its general partner, Southbridge Care Homes Inc.) (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for a 160-bed new LTC home to be named Southbridge Owen Sound, to be located in Owen Sound.",160
0,Chartwell Master Care LP — Project #20-034,"Licence Transfer for four long-term care homes in L'Orignal, Lancaster, Niagara-on-the-Lake and Cannington",Closed,"The MLTC is reviewing a proposal from Chartwell Master Care LP (the current licensee) in conjunction with DTOC II Long Term Care LP, by its general partner, DTOC II Long Term Care MGP (a general partnership) by its partners, DTOC Long Term Care GP Inc. and Arch Venture Holdings Inc. (the proposed purchaser) for the licence transfers related to four long-term care (LTC) homes located in L'Orignal, Lancaster, Niagara-on-the-Lake and Cannington, Ontario.",
0,Riverview Manor — Project #20-006,Development of a 160-bed long-term care home in Peterborough,Closed,"The MLTC is reviewing a proposal from 0760444 B.C. Ltd. as General Partner on behalf of Omni Health Care Limited Partnership (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Riverview Manor, an LTC home currently located at 1155 Water Street in Peterborough, Ontario.",160
0,Extendicare Peterborough — Project #20-007,Development of a 256-bed long-term care home in Peterborough,Closed,"The MLTC is reviewing a proposal from Extendicare Canada Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Extendicare Peterborough, a LTC home currently located at 860 Alexander Court in Peterborough, Ontario.",256
0,Extendicare Van Daele — Project #20-008,Development of a 120-bed long-term care home in Sault Ste. Marie,Closed,"The MLTC is reviewing a proposal from Extendicare Canada Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Extendicare Van Daele, a LTC home located at 39 Van Daele Street in Sault Ste. Marie, Ontario.",120
0,Golden Plough Lodge — Project #20-009,Development of a 180-bed long-term care home in Cobourg,Closed,"The MLTC is reviewing a proposal from The Corporation of the County of Northumberland (the Operator) for issuing a new long-term care (LTC) home approval for Golden Plough Lodge, an LTC home currently located at 983 Burnham Street in Cobourg, Ontario.",180
0,Yee Hong Finch — Project #20-010,Development of a 224-bed long-term care home in Scarborough,Closed,"The MLTC is reviewing a proposal from Yee Hong Centre for Geriatric Care (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Yee Hong Finch II, an LTC home to be located in Scarborough, Ontario.",224
0,Stayner Care Centre — Project #20-011,Development of a 96-bed long-term care home in Stayner,Closed,"The MLTC is reviewing a proposal from Stayner Care Centre Inc. (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Stayner Care Centre, a LTC home located at 244 Main Street East, 7308 Highway #26 in Stayner, Ontario.",96
0,Elmwood Place — Project #20-012,Licence transfer and development of a 128-bed long-term care home in London,Closed,"The MLTC is reviewing a proposal for issuing a new long-term care (LTC) home licence for up to 30 years for Elmwood Place, a long-term care (LTC) home located at 46 Elmwood Place West in London, Ontario.",128
0,Lakeside Long Term Care Centre — Project #20-013,Development of 192-beds at Lakeside Long-Term Care Centre,Closed,"The MLTC is reviewing a proposal from University Health Network (the Licensee) for issuing a new long-term care (LTC) home licence for up to 30 years for Lakeside Long-Term Care Centre, an LTC home located at 150 Dunn Avenue in Toronto, Ontario.",192
